service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
m308,1,1,1,1,1,1,1,20170101,20240101
m309,1,1,1,1,1,1,1,20170101,20240101
m310,1,1,1,1,1,1,1,20170101,20240101
m311,1,1,1,1,1,1,1,20170101,20240101
m312,1,1,1,1,1,1,1,20170101,20240101
m313,1,1,1,1,1,1,1,20170101,20240101
m314,1,1,1,1,1,1,1,20170101,20240101
m315,1,1,1,1,1,1,1,20170101,20240101
m316,1,1,1,1,1,1,1,20170101,20240101
m317,1,1,1,1,1,1,1,20170101,20240101
m318,1,1,1,1,1,1,1,20170101,20240101
m319,1,1,1,1,1,1,1,20170101,20240101
m320,1,1,1,1,1,1,1,20170101,20240101
m321,1,1,1,1,1,1,1,20170101,20240101
m322,1,1,1,1,1,1,1,20170101,20240101
m323,1,1,1,1,1,1,1,20170101,20240101
m324,1,1,1,1,1,1,1,20170101,20240101
m325,1,1,1,1,1,1,1,20170101,20240101
m326,1,1,1,1,0,1,1,20170101,20240101
m327,1,1,1,1,0,1,1,20170101,20240101
m328,0,0,0,0,1,0,0,20170101,20240101
m329,0,0,0,0,1,0,0,20170101,20240101
t347,1,1,1,1,0,1,1,20170101,20240101
t348,1,1,1,1,1,1,1,20170101,20240101
t349,1,1,1,1,0,1,1,20170101,20240101
t350,1,1,1,1,1,1,1,20170101,20240101
t351,1,1,1,1,0,1,1,20170101,20240101
t352,1,1,1,1,1,1,1,20170101,20240101
t353,1,1,1,1,0,1,1,20170101,20240101
t354,1,1,1,1,1,1,1,20170101,20240101
t355,1,1,1,1,1,1,1,20170101,20240101
t356,1,1,1,1,0,1,1,20170101,20240101
t357,1,1,1,1,1,1,1,20170101,20240101
t358,1,1,1,1,0,1,1,20170101,20240101
t359,0,0,0,0,1,0,0,20170101,20240101
t360,1,1,1,1,0,1,1,20170101,20240101
t361,1,1,1,1,0,1,1,20170101,20240101
t362,1,1,1,1,1,1,1,20170101,20240101
t363,1,1,1,1,1,1,1,20170101,20240101
t364,0,0,0,0,1,0,0,20170101,20240101
t365,1,1,1,1,1,1,1,20170101,20240101
t366,1,1,1,1,0,1,1,20170101,20240101
t367,1,1,1,1,0,1,1,20170101,20240101
t368,1,1,1,1,1,1,1,20170101,20240101
t369,1,1,1,1,0,1,1,20170101,20240101
t370,1,1,1,1,1,1,1,20170101,20240101
t371,1,1,1,1,0,1,1,20170101,20240101
t372,1,1,1,1,1,1,1,20170101,20240101
t373,1,1,1,1,1,1,1,20170101,20240101
t374,1,1,1,1,0,1,1,20170101,20240101
t375,1,1,1,1,0,1,1,20170101,20240101
t376,1,1,1,1,1,1,1,20170101,20240101
t377,1,1,1,1,1,1,1,20170101,20240101
t378,1,1,1,1,1,1,1,20170101,20240101
t379,1,1,1,1,0,1,1,20170101,20240101
t380,1,1,1,1,1,1,1,20170101,20240101
t381,1,1,1,1,0,1,1,20170101,20240101
t382,1,1,1,1,0,1,1,20170101,20240101
t383,1,1,1,1,0,1,1,20170101,20240101
t384,1,1,1,1,1,1,1,20170101,20240101
t385,1,1,1,1,0,1,1,20170101,20240101
